library,benchmark,primal_ms,gradient_ms
FD,HestonMC,9.227609,82.710698
XAD,HestonMC,9.246299,39.806499
XAD-Codegen,HestonMC,9.250073,21.200000
CppAD,HestonMC,9.272276,268.259561
Adept,HestonMC,9.267183,90.688458
autodiff,HestonMC,-1.000000,-1.000000
FD,SABRCalib,2.087951,32.669832
XAD,SABRCalib,2.102763,8.422538
XAD-Codegen,SABRCalib,2.116910,4.900000
CppAD,SABRCalib,2.117232,32.027869
Adept,SABRCalib,2.103599,18.672301
autodiff,SABRCalib,2.098560,38.085738
FD,XVA-CVA,588.835515,24059.569757
XAD,XVA-CVA,592.272481,2617.926795
XAD-Codegen,XVA-CVA,590.961007,571.900000
CppAD,XVA-CVA,590.344387,7971.512632
Adept,XVA-CVA,590.100283,7076.041971
autodiff,XVA-CVA,-1.000000,-1.000000
FD,LiborSwaption,131.669527,21560.974441
XAD,LiborSwaption,137.340130,1001.360158
XAD-Codegen,LiborSwaption,139.789374,305.300000
CppAD,LiborSwaption,138.019714,4572.245704
Adept,LiborSwaption,138.181682,1154.826850
autodiff,LiborSwaption,-1.000000,-1.000000
